firstname,middlename,lastname,qualifier,title,role,organization,rank
Alexandra,,Stevenson,,,reported,,1
Sapna,,Maheshwari,,,reported,,2
Andrew,Ross,Sorkin,,,reported,,1
Vivian,,Giang,,,reported,,2
Stephen,,Gandel,,,reported,,3
Lauren,,Hirsch,,,reported,,4
Ephrat,,Livni,,,reported,,5
Jenny,,Gross,,,reported,,6
Reed,,Abelson,,,reported,,1
Craig,S.,Smith,,,reported,,1
Zolan,,Kanno-Youngs,,,reported,,1
Peter,,Baker,,,reported,,2
Christina,,Szalinski,,,reported,,1
Annie,,Karni,,,reported,,1
Emily,,Cochrane,,,reported,,2
Ben,,Dooley,,,reported,,1
Hisako,,Ueno,,,reported,,2
Jeanna,,Smialek,,,reported,,1
Christina,,Jewett,,,reported,,1
Amelia,,Nierenberg,,,reported,,1
Andrew,Ross,Sorkin,,,reported,,1
Stephen,,Gandel,,,reported,,2
Lauren,,Hirsch,,,reported,,3
Ephrat,,Livni,,,reported,,4
Jenny,,Gross,,,reported,,5
Vivian,,Giang,,,reported,,6
Anna,,Schaverien,,,reported,,7
David,,Leonhardt,,,reported,,1
Jessica,,Grose,,,reported,,1
Ilaria,,Parogni,,,reported,,1
Amelia,,Nierenberg,,,reported,,1
Keith,,Bradsher,,,reported,,1
Jeff,,Sommer,,,reported,,1
Lindsay,,Owens,,,reported,,1
Keith,,Bradsher,,,reported,,1
Ana,,Swanson,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,2
Lisa,,Friedman,,,reported,,1
Andrew,Ross,Sorkin,,,reported,,1
Vivian,,Giang,,,reported,,2
Stephen,,Gandel,,,reported,,3
Lauren,,Hirsch,,,reported,,4
Ephrat,,Livni,,,reported,,5
David,F.,Gallagher,,,reported,,6
Jenny,,Gross,,,reported,,7
Alan,,Rappeport,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Ben,,Casselman,,,reported,,2
Andrew,Ross,Sorkin,,,reported,,1
Jason,,Karaian,,,reported,,2
Vivian,,Giang,,,reported,,3
Stephen,,Gandel,,,reported,,4
Lauren,,Hirsch,,,reported,,5
Ephrat,,Livni,,,reported,,6
Jenny,,Gross,,,reported,,7
David,F.,Gallagher,,,reported,,8
Anna,,Schaverien,,,reported,,9
Paul,,Krugman,,,reported,,1
Coral,Murphy,Marcos,,,reported,,1
Julie,,Weed,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Ben,,Casselman,,,reported,,1
Ana,,Swanson,,,reported,,2
Andrew,Ross,Sorkin,,,reported,,1
Jason,,Karaian,,,reported,,2
Vivian,,Giang,,,reported,,3
Stephen,,Gandel,,,reported,,4
Lauren,,Hirsch,,,reported,,5
Ephrat,,Livni,,,reported,,6
Jenny,,Gross,,,reported,,7
Anna,,Schaverien,,,reported,,8
Jack,,Ewing,,,reported,,1
Alan,,Rappeport,,,reported,,1
Ana,,Swanson,,,reported,,2
Keith,,Bradsher,,,reported,,1
Marie,,Solis,,,reported,,1
Conor,,Dougherty,,,reported,,1
Jeanna,,Smialek,,,reported,,2
Steven,,Rattner,,,reported,,1
Karen,,Weise,,,reported,,1
Keith,,Bradsher,,,reported,,1
Paul,,Krugman,,,reported,,1
Sway',,,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Liz,,Alderman,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jack,,Ewing,,,reported,,1
Ceylan,,Yeginsu,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jack,,Ewing,,,reported,,1
Clifford,,Krauss,,,reported,,2
Ana,,Swanson,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Victoria,,Gomelsky,,,reported,,1
Keith,,Bradsher,,,reported,,1
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,1
Photographs,,,,,reported,,1
Text,Gary,He,,,reported,,2
Jenny,,Gross,,,reported,,1
Jack,,Ewing,,,reported,,1
Stephen,,Gandel,,,reported,,2
Jeff,,Sommer,,,reported,,1
Peter,,Eavis,,,reported,,1
Jack,,Ewing,,,reported,,1
Matthew,,Haag,,,reported,,1
Don,,Clark,,,reported,,1
Adam,,Satariano,,,reported,,2
Robin,,Kaiser-Schatzlein,,,reported,,1
Peter,S.,Goodman,,,reported,,1
Jack,,Ewing,,,reported,,1
Liz,,Alderman,,,reported,,1
Jenny,,Gross,,,reported,,2
James,,Barron,,,reported,,1
Blake,,Hounshell,,,reported,,1
Leah,,Askarinam,,,reported,,2
Ana,,Swanson,,,reported,,1
Andrew,Ross,Sorkin,,,reported,,1
Jason,,Karaian,,,reported,,2
Sarah,,Kessler,,,reported,,3
Stephen,,Gandel,,,reported,,4
Michael,J.,de la Merced,,,reported,,5
Lauren,,Hirsch,,,reported,,6
Ephrat,,Livni,,,reported,,7
Jack,,Ewing,,,reported,,1
Michael,J.,Puma,,,reported,,1
Megan,,Konar,,,reported,,2
Joe,,Nocera,,,reported,,1
Ana,,Swanson,,,reported,,1
Nina,,Roberts,,,reported,,1
Liza,,Weisstuch,,,reported,,1
Monika,,Pronczuk,,,reported,,1
Zolan,,Kanno-Youngs,,,reported,,1
Jonathan,,Weisman,,,reported,,2
Emily,,Cochrane,,,reported,,3
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,1
Eric,,Schmitt,,,reported,,1
Julian,E.,Barnes,,,reported,,2
David,,Dayen,,,reported,,1
Ana,,Swanson,,,reported,,1
Alan,,Rappeport,,,reported,,2
Jeanna,,Smialek,,,reported,,1
Ana,,Swanson,,,reported,,2
Susan,,Burton,,,reported,,1
Michael,,Paulson,,,reported,,1
Maureen,,Dowd,,,reported,,1
Jeannette,,Catsoulis,,,reported,,1
Woody,,Hochswender,,,reported,,1
Marilyn,,Stasio,,,reported,,1
Marc,,Ecko,,,reported,,1
Charles,,Solomon,,,reported,,1
Mike,,Freeman,,,reported,,1
Mariam,,Barghouti,,,reported,,1
Yolanda,A.,Andrews,,,reported,,1
Alessandra,,Stanley,,,reported,,1
Bob,,Morris,,,reported,,1
Bob,,Morris,,,reported,,1
A.,O.,Scott,,,reported,,1
Thomas,,Gaffney,,,reported,,1
Charles,,,,,reported,,1
Joyce,,Wadler,,,reported,,1
Laugh,,Lines,,,reported,,1
Jerry,,Garrett,,,reported,,1
Dave,,Taft,,,reported,,1
Tom,,De Haven,,,reported,,1
Dave,,Cullen,,,reported,,1
Stephen,,Holden,,,reported,,1
Laura,,Kipnis,,,reported,,1
Mark,,Bittman,,,reported,,1
Elizabeth,,Dwoskin,,,reported,,1
Paul,,Conlow,,,reported,,1
Ruth,Andrew,Ellenson,,,reported,,1
Jennifer,,Senior,,,reported,,1
